Bescheid vom,Rufnummer,Kategorie,Maßnahme
17.06.2021,032127008009,Spam Fax,Abschaltung der Rufnummer zum 22.06.2021
16.06.2021,032121460314,Spam Fax,Abschaltung der Rufnummer zum 21.06.2021
15.06.2021,015238414243|015256424175|015256424207|015221060114|015221060471,Spam Fax,Abschaltung der Rufnummern zum 18.06.2021
10.06.2021,015755731585|015755732099|015755731919|015750933092|015750933108|015750933095|015750933079|015755731543|015755731594|015755731764|015755731657|015755731548|015755731605|015755731642|015755731563|015755731409|015755731378|015757731399|015755731682|015755731765|015753847501|015753847410|015753847363|015753847512|015755393764|015755731745|015750932933|015750932896|015750932909|015750932913|015755731414|015755731399|015751008058|015751008059|015751008061|015751008062|015755731587|015755731645|015755731544|015755731580|015755733363|015755732069|015755416263|015755475067,Spam SMS,Abschaltung der Rufnummern zum 15.06.2021
10.06.2021,015755731568|015755731576|015755731635|015755781833|015755731415|015755731979|015755731658|015755731583|015755393917|015755731550|015755416499|015755416337|015755416532|015755416408|015755475168|015755475216|015750932963|015750933025|015750932965|015750933009|015755731539|015755731884|015755731984|015755731606|015755731895|015755731875|015755731692|015755731591|015755733491|015755731560|015755731565|015755731669|01639425469|01639462332|01639462484|01639425468|01639425605|01639425550|01639425604|01639425603|01639425452|01639425456|01639462304|01639462118,Spam SMS,Abschaltung der Rufnummern zum 15.06.2021
10.06.2021,022129255825,Predictive Dialer,Abschaltung der Rufnummer zum 15.06.2021
09.06.2021,01803220120|01805002452|01805008855,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 01.03.2021 bis 11.05.2021
09.06.2021,03080098478,Predictive Dialer,Abschaltung der Rufnummer zum 12.06.2021
09.06.2021,01623534157|01623534164|01623534231|01623534232|01624760578|01625864976|01625884671|01625884989|01626062268|01626062269|01626068195|01626068197|01626068198|01626068199|01747141553|01626090547|015203528982|01625894884,Spam SMS,Abschaltung der Rufnummern zum 12.06.2021
08.06.2021,094099999936,Internet PopUp,Abschaltung der Rufnummer zum 12.06.2021
08.06.2021,033224379938,Internet PopUp,Abschaltung der Rufnummer zum 11.06.2021
07.06.2021,01788362375,Predictive Dialer,Abschaltung der Rufnummer zum 10.06.2021
01.06.2021,039086473986,Internet PopUp,Abschaltung der Rufnummer zum 04.06.2021
01.06.2021,021493009676,Internet PopUp,Abschaltung der Rufnummer zum 04.06.2021
01.06.2021,028217499962,Internet PopUp,Abschaltung der Rufnummer zum 04.06.2021
01.06.2021,063329789996,Internet PopUp,Abschaltung der Rufnummer zum 04.06.2021
31.05.2021,017629164049,Spam Fax,Abschaltung der Rufnummer zum 04.06.2021
31.05.2021,01708358396,Spam Fax,Abschaltung der Rufnummer zum 04.06.2021
31.05.2021,022167058650|022167058651|022167058652|022167058653|022167058654|022167058655|022167058656|022167058657|022167058658|022167058659,Spam Fax,Abschaltung der Rufnummern zum 03.06.2021
31.05.2021,033644133747,Internet PopUp,Abschaltung der Rufnummer zum 04.06.2021
31.05.2021,022349614899|020262934662,Internet PopUp,Abschaltung der Rufnummern zum 04.06.2021
27.05.2021,027131757739|027131757744|027131390706|027131390707|027131390708|027131757738|027131758246|027131758247|027170324837|027170324838,Spam Fax,Abschaltung der Rufnummern zum 31.05.2021
26.05.2021,022342190970|022342190971|022342190972|022342190973|022342190974|022342190975|022342190976|022342190977|022342190978|022342190979,Spam Fax,Abschaltung der Rufnummern zum 29.05.2021
26.05.2021,022129203450|022129203451|022129203452|022129203453|022129203454|022129203455|022129203456|022129203457|022129203458|022129203459,Spam Fax,Abschaltung der Rufnummern zum 29.05.2021
26.05.2021,032128009003,Spam Fax,Abschaltung der Rufnummer zum 29.05.2021
26.05.2021,08001815210,Internet PopUp,Abschaltung der Rufnummer zum 29.05.2021
25.05.2021,033224379631,Internet PopUp,Abschaltung der Rufnummer zum 28.05.2021
21.05.2021,093145253233|093145253262,Spam Fax,Abschaltung der Rufnummern zum 25.05.2021
20.05.2021,015256081515,Spam Fax,Abschaltung der Rufnummer zum 24.05.2021
18.05.2021,002299595|0022964018|0022964120|0022964228|0022995950|0033472613|0037322231|00224670999|00237661155|00237661276|00261325090|00261326507|00261329484|00448452229|00448452263,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 25.03.2021 bis 28.03.2021
17.05.2021,00212621000043|00212690000000|00212696855066|00213776310073|0021624353923|0021652202583|0021652203121|0021652203527|0021695116402|00972595250656|00994127904808,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 25.04.2021 bis 26.04.2021
17.05.2021,01624761229|01624783246|01625380670|015207708723|015207708744|015207709186|015207709435|01627589239|01627589490|015203235147|015203235153|015203235163|015203235171,Spam SMS,Abschaltung der Rufnummern zum 20.05.2021
17.05.2021,04025468903,Internet PopUp,Abschaltung der Rufnummer zum 20.05.2021
17.05.2021,062069624801,Internet PopUp,Abschaltung der Rufnummer zum 20.05.2021
17.05.2021,028217499966,Internet PopUp,Abschaltung der Rufnummer zum 20.05.2021
12.05.2021,023639099833,Internet PopUp,Abschaltung der Rufnummer zum 15.05.2021
12.05.2021,028729589891,Internet PopUp,Abschaltung der Rufnummer zum 15.05.2021
12.05.2021,062287769699,Internet PopUp,Abschaltung der Rufnummer zum 15.05.2021
12.05.2021,01794073430|01794143479|01796067239|01796070436|01796140878|01796146898|01797291220|017622546763|017660182759,Spam SMS,Abschaltung der Rufnummern zum 15.05.2021
12.05.2021,06920446836,Internet PopUp,Abschaltung der Rufnummer zum 15.05.2021
12.05.2021,074548939677,Internet PopUp,Abschaltung der Rufnummer zum 15.05.2021
11.05.2021,032127008003,Spam Fax,Abschaltung der Rufnummer zum 14.05.2021
11.05.2021,049197899942,Internet PopUp,Abschaltung der Rufnummer zum 14.05.2021
11.05.2021,023069999973,Internet PopUp,Abschaltung der Rufnummer zum 14.05.2021
11.05.2021,0023570103203|0023574939951|0023590330309|0026771913321|00261325090319|0041799793195|0050583660115|0050587535571|0050588575877|0050588826645|0050588826647|0050588826649,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 28.02.2021 bis 09.03.2021
06.05.2021,054399619673,Internet PopUp,Abschaltung der Rufnummer zum 10.05.2021
06.05.2021,08000010150,Internet PopUp,Abschaltung der Rufnummer zum 10.05.2022
05.05.2021,024198093490|024198093491|024198093492|024198093493|024198093494|024198093495|024198093496|024198093497|024198093498|024198093499,Spam Fax,Abschaltung der Rufnummern zum 08.05.2021
05.05.2021,024156527320|024156527321|024156527322|024156527323|024156527324|024156527325|024156527326|024156527327|024156527328|024156527329,Spam Fax,Abschaltung der Rufnummern zum 08.05.2021
04.05.2021,015256081668,Spam Fax,Abschaltung der Rufnummer zum 07.05.2021
03.05.2021,076219359216|076219359217|076219359218,Fehlender Ortsnetzbezug|Drittnutzung|Vortäuschen von Ortsansässigkeit,Abschaltung der Rufnummern zum 06.05.2021
03.05.2021,015203235291|015203235291|015236252416|015238976817|01624762418|01624775064|01624775096|01625343676,Spam SMS,Abschaltung der Rufnummern zum 06.05.2021
29.04.2021,09005190190,Spezifische Missbrauchsformen,Abschaltung der Rufnummer zum 06.05.2021; Rechnungslegungs- und Inkassierungsverbot vom 01.02.2020 bis 05.06.2021
29.04.2021,022339739814,Internet PopUp,Abschaltung der Rufnummer zum 03.05.2021
27.04.2021,00242220320611,Ping-Anruf,Rechnungslegungs- und Inkassierungsverbot vom 20.12.2020 bis 20.01.2021 im Mobilfunk
26.04.2021,0050766106538|0050766119575|0050766123006|0050766126018|0050766144031|0050766148440|0050766161369|0050766162957|0050766163035|0050766166283|0050766180689|0050766184166|0050766188345|0050766189842|0050766208450|0050766211669|0050766215101|0050766224595|0050766230288|0050766235213|0050766236329|0050766237971|0050766240800|0050766241885|0050766242479|0050766244375|0050766251796|0050766261040|0050766263686|0050766272747|0050766274871|0050766275414|0050766280244|0050766284724|0050766284968|0050766299298|0050766299784|0050768102213|0050768111421|0050768112960|0050768124327|0050768128164|0050768128624|0050768131143|0050768134951|0050768136149|0050768139317|0050768145352|0050768148704|0050768155720|0050768162928|0050768171035|0050768171636|0050768181681|0050768190430|0050768194863,Ping-Anruf,Rechnungslegungs- und Inkassierungsverbot vom 05.02.2021 bis 26.04.2022 im Mobilfunk
26.04.2021,015147016200|015147472875|015147648502|015147701889|015147780623|01719401483,Spam SMS,Abschaltung der Rufnummern zum 29.04.2021
26.04.2021,015203235246|015205896075|015205896089|015205896259|015205899380|015205899410|01624761880|01624774557|01624775008|01624782685|01624783164|01627589498|01628445692,Spam SMS,Abschaltung der Rufnummern zum 29.04.2021
26.04.2021,08001814961,Internet PopUp,Abschaltung der Rufnummer zum 29.04.2021
26.04.2021,08001800392,Internet PopUp,Abschaltung der Rufnummer zum 29.04.2021
26.04.2021,00242220309744|00242220327189,Ping-Anruf,Rechnungslegungs- und Inkassierungsverbot vom 20.012.2020 bis 20.01.2021 im Mobilfunk
22.04.2021,022342197140|022342197148,Spam Fax,Abschaltung der Rufnummer zum 26.04.2021
21.04.2021,08001826066,Internet PopUp,Abschaltung der Rufnummer zum 24.04.2021
21.04.2021,071468989811,Internet PopUp,Abschaltung der Rufnummer zum 24.04.2021
21.04.2021,023949179825,Internet PopUp,Abschaltung der Rufnummer zum 24.04.2021
21.04.2021,043219634996,Internet PopUp,Abschaltung der Rufnummer zum 24.04.2021
21.04.2021,021138533820,Spam SMS,Abschaltung der Rufnummer zum 24.04.2021
15.04.2021,027123418946|027123835644|027123837601|027125006664|027125016843|027130375675|027131336949|027131363519|027131363754|02713176382,Spam Fax,Abschaltung der Rufnummern zum 19.04.2021
14.04.2021,015256081767|015256081672,Spam Fax,Abschaltung der Rufnummern zum 17.04.2021
14.04.2021,015256077562,Spam Fax,Abschaltung der Rufnummer zum 17.04.2021
14.04.2021,071736692726,Spam SMS,Abschaltung der Rufnummer zum 17.04.2021
08.04.2021,024198094690|024198094691|024198094692|024198094693|024198094694|024198094695|024198094696|024198094697|024198094698|024198094699,Spam Fax,Abschaltung der Rufnummern zum 12.04.2021
31.03.2021,061027487656|061027487657|061027487658,Predictive Dialer,Abschaltung der Rufnummern zum 06.04.2021
31.03.2021,034186265847,Internet PopUp,Abschaltung der Rufnummer zum 03.04.2021
31.03.2021,036175044839,Internet PopUp,Abschaltung der Rufnummer zum 03.04.2021
29.03.2021,01759931778,Spam Fax,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,032124858688,Spam Fax,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,032125354556,Spam Fax,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,032126070810,Spam Fax,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,032126768698,Spam Fax,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,017630338525,Spam SMS,Abschaltung der Rufnummer zum 01.04.2021
29.03.2021,015203235230|015203235256|015203235270|015203235292|015203235287,Spam SMS,Abschaltung der Rufnummern zum 01.04.2021
29.03.2021,032221098555,Internet PopUp,Abschaltung der Rufnummer zum 01.04.2021
25.03.2021,0018498036830|0022362200480|0022362270010|0022362347260|0022362356980|0022362488510|0022428120714|0022479970504|0022898639690|00233244148613|00233244208310|0023599632300|00240222128410|00240618273210|00240685072410|00240685074021|00240685074023|00240685074025|00240685074026|00240685074028|00240685074029|00240688230273|002486400630|002486400631|002486400633|002486400635|002486426304|0032463005238|0037322349327|0037322349369|00383496039140|0038733755010|00393191000149,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 19.03.2021 bis einschließlich 22.07.2021
25.03.2021,00393191000256|0041742771877|0041742772023|004174357100|0041784059470|004382090905691|0050949987125|0050949987175|0050949987689|005926025115|005926464483|00672300138|00672328500|006785073140|006785083006|006785083061|006785083062|006785083063|006785083064|006785083065|006785083066|006785083067|006785083068|006785083069|006785083070|006785083071|006785083072|0079408000653|0079408000662|00972567403321,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 19.03.2021 bis einschließlich 22.07.2021
25.03.2021,118000,Umgehungsmodell,Abschaltung der Rufnummer zum 31.03.2021
25.03.2021,015167520313,Spam SMS,Abschaltung der Rufnummer zum 29.03.2021
25.03.2021,015155268233,Spam SMS,Abschaltung der Rufnummer zum 29.03.2021
24.03.2021,006851404833|006854147801|006855353550|006858332220|006858332225|006858332226|006858332227|006858332228|006858332229|006858332300|006858332311|006858332324|006858332327|006858341109|006858341110|006858341430|006858341740|006858341904|006858361704|006858498422|006858498425|006858498426|0022671778915|0038761128310|0038762005099|0038762381907|0038762385480|0038762385482|0038762385483|0038767589036|0038767589038|0038767589039|0038767589817|0038767589818|0038767589819|0053588110830,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 14.03.2021 bis 15.03.2021
23.03.2021,015203783680|015222338317|015222176827|015203726475|015207922213|015251442718|015222338124|015259058633|015203783677|015251442724|015203703240|015207942606,Spam SMS,Abschaltung der Rufnummern zum 26.03.2021
22.03.2021,015256081659,Spam Fax,Abschaltung der Rufnummer zum 25.03.2021
22.03.2021,08001810335,Internet PopUp,Abschaltung der Rufnummer zum 25.03.2021
19.03.2021,027125006663|027131763680,Spam Fax,Abschaltung der Rufnummern zum 23.03.2021
18.03.2021,071509218950|071509218951|071509218653,Fehlender Ortsnetzbezug|Vortäuschen von Ortsansässigkeit,Abschaltung der Rufnummern zum 22.03.2021|Portierungsverbot
16.03.2021,022166960880|022166960889,Spam Fax,Abschaltung der Rufnummern zum 19.03.2021
16.03.2021,08008008440,Internet PopUp,Abschaltung der Rufnummer zum 19.03.2021
16.03.2021,032211122013,Warteschleife,Abschaltung der Rufnummer zum 22.03.2021
15.03.2021,024198093440|024198093449,Spam Fax,Abschaltung der Rufnummern zum 17.03.2021
15.03.2021,08001802304,Internet PopUp,Abschaltung der Rufnummer zum 18.03.2021
15.03.2021,01639572135,Predictive Dialer,Abschaltung der Rufnummer zum 18.03.2021
12.03.2021,032221092421,Warteschleife,Abschaltung der Rufnummer zum 17.03.2021
11.03.2021,021138537909,Internet PopUp,Abschaltung der Rufnummer zum 15.03.2021
09.03.2021,009647519125193|009647519125313|009647519125774|009647519146070|009647519146475|009647519172042|009647519172387|009647519282604|009647519282802|009647519588545|009647564658076|00972597234669|0096475192828020096475199,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 20.01.2021 bis 21.01.2021
04.03.2021,027131364060|027131380321,Spam Fax,Abschaltung der Rufnummern zum 09.03.2021
03.03.2021,032129898982,Spam Fax,Abschaltung der Rufnummer zum 08.03.2021
03.03.2021,03042206710,Predictive Dialer,Abschaltung der Rufnummer zum 08.03.2021
03.03.2021,030422068749|030422068751,Predictive Dialer,Abschaltung der Rufnummern zum 08.03.2021
02.03.2021,09005888825|09005240020|09005969988|09005969914|09005969990,Spam SMS,Abschaltung der Rufnummern zum 05.03.2021
01.03.2021,015221060240,Spam Fax,Abschaltung der Rufnummer zum 04.03.2021
01.03.2021,076179119675,Internet PopUp,Abschaltung der Rufnummer zum 04.03.2021
01.03.2021,08001811285,Internet PopUp,Abschaltung der Rufnummer zum 04.03.2021
25.02.2021,0016473676995|00213658348045|0021699113988|00242211020013|00242222635160|00242222736336|00242222736365|00242222736366|00242285810029|00355689910240|0037329926960|0037329926962|0037329926963|0037329926964|0037329926967|0037329927530|0037329927531|0037329927537|0037329972507|005354990550,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 24.02.2021
23.02.2021,015237868449|015237872080|01621654189,Umgehungsmodell,Abschaltung der Rufnummern zum 26.02.2021
23.02.2021,0059372016769,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 18.02.2021
22.02.2021,00212652160630|0021626997239|00221700003836|00221700003855|00221700006276|00221700007381|00221705405726|00256772603377|00256772603609|00256772603755|00256786687228|00972567288965,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 20.12.2020 bis 21.12.2020
22.02.2021,01624762125|01624770201|01624770570|01624762131|01624782525|015202743231|015202743284,Spam SMS,Abschaltung der Rufnummern zum 25.02.2021
22.02.2021,01624761171|01624761922|01624770990|01624783121,Spam SMS,Abschaltung der Rufnummern zum 25.02.2021
22.02.2021,037241263892,Internet PopUp,Abschaltung der Rufnummer zum 25.02.2021
18.02.2021,08001830886,Internet PopUp,Abschaltung der Rufnummer zum 22.02.2021
17.02.2021,015171287118,Spam Fax,Abschaltung der Rufnummer zum 22.02.2021
17.02.2021,08001815652,Internet PopUp,Abschaltung der Rufnummer zum 20.02.2021
17.02.2021,0022366006204|0022366006209|0022366006212|0022366006216|0022366006222|0022366006231|0022366006232|0022366006249|0022366006253|0022366006255|0022366006270|0022366006276|0022366006277|0022366006287|0022366006289|0022366006291|0022366006294|0022366006296|0022995803310|0022995803344|0022995803345|00381642370246|0038970106286|00390699181346,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 06.02.2021
17.02.2021,0016134168698|0021623281288|0021629753615|0022363206199|0022379002286|00233269962851|00261325393660|0038269525081|0050577167748|0050577283019|0050577283257|0050581417805|0050581417860|0050582815744|0050582819156|0050582819944|0050582875306|0050582971834|0050582971842|0050582982587|0050582985603|0050582985678|0050582989302|0050587577000|0050588815939|0050588815959,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 12.02.2021
17.02.2021,022892939005,Internet PopUp,Abschaltung der Rufnummer zum 20.02.2021
15.02.2021,015736071763|015736071767,Predictive Dialer,Abschaltung der Rufnummern zum 18.02.2021
11.02.2021,015167186234,Drittnutzung,Abschaltung der Rufnummer zum 16.02.2021|Portierungsverbot
11.02.2021,015167192495|015167192499|015172160453,Drittnutzung,Abschaltung der Rufnummern zum 16.02.2021|Portierungsverbot
11.02.2021,017661848840|0176 61848892,Drittnutzung,Abschaltung der Rufnummern zum 16.02.2021|Portierungsverbot
11.02.2021,08002446284,Internet PopUp,Abschaltung der Rufnummer zum 15.02.2021
04.02.2021,015171287121,Spam Fax,Abschaltung der Rufnummer zum 08.02.2021
03.02.2021,021188920800,Spam Fax,Abschaltung der Rufnummer zum 08.02.2021
03.02.2021,01621653869,Umgehungsmodell,Abschaltung der Rufnummer zum 06.02.2021
02.02.2021,01756461862|015147417947|015147917194|015165769234,Spam SMS,Abschaltung der Rufnummern zum 05.02.2021
02.02.2021,01771789042,Spam SMS,Abschaltung der Rufnummer zum 05.02.2021
01.02.2021,0018005551111|00213770153620|00213770153626|0021658500510|002209872221|00221703359742|00224620812487|00233231852783|0023592772185|0032467640110|0032473430427|00442033477777|0050555171097|0050557818273|0050584484324|0050661418544|0059178606874|00989127116184|00989182828262|00989343385430|00989858186517|00989921610700|00989921610743|00989921610778|00989921610796|00989990779183|00989999014100|00989999014119|00989999014120|00989999014144,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 12.12.2020
28.01.2021,08001815700,Internet PopUp,Abschaltung der Rufnummer zum 01.02.2021
27.01.2021,015221060163,Spam Fax,Abschaltung der Rufnummer zum 01.02.2021
27.01.2021,015171321536,Spam Fax,Abschaltung der Rufnummer zum 01.02.2021
27.01.2021,0022428120710|0022428120712|0022428120714|0022428120715|0022428120717|0022428120718|0022428120719|0022794559910|0023622899713|0023675500250|0023858147250|0023858512630|0023858516280|002389923510|002389928000|002389955200|0024222792010|0024222792020|0024222792021|0024222792022|0024222792023|0024222792025|00242394423200|00242394423210|00242394423211|00242394423215|00242394423216|00242512954030|00242512954036|00250849656250|00250849656251|00250849656252|00250849656253|00250849656254|00250849656255|00256486208610|00256780202510|00256780241410|00256788873310|,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 22.01.2021 bis 25.05.2021
27.01.2021,00256788878610|00256788878612|00256788878613|00256788878614|00256788878615|00256788878616|00256788878617|00261209440529|00261275564000|00261322821310|00261322876850|00261328386580|00261329543781|00261338337840|00261395800500|00261911344610|0050557900670|0050580739330|0050580739331|0050580739332|0050580739333|0050580739334|0050580739335|0050580739336|0050580739337,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 22.01.2021 bis 25.05.2021
25.01.2021,030232565400 bis 030232565499|03023593651|03023593652|03023593653|03023593654|03023593656|03023593657|03023593658|03023593659|03023593660|030235952800 bis 030235952899,Fehlender Ortsnetzbezug|Drittnutzung|Vortäuschen von Ortsansässigkeit,Abschaltung der Rufnummern zum 28.01.2021|Portierungsverbot
25.01.2021,08001816077,Internet PopUp,Abschaltung der Rufnummer zum 28.01.2021
20.01.2021,01636873706|01636874262|01638300094|01778464559|01779035639|01783731796|01783732029|01783732200|01783954206|01783980050|01784655507|01784655652|01784655716|01784655721|01784655741|01784655806|01784660977|01784662687|01784663440|01784664576|01784693746|015904891456|015904891457|017634663500|01784672360|015776997881|015777659720|015778591686|01782425878|01784684942|015776997882|015777659719|015778591687|01782425906|01779334865|015750868028|015775135078|01787339481|01773993498|015750792718|015750792724|015776229002|01784659744|01639439482|01639440551|015759748845|01639537863|01784660250|01630033285|015776110166|015776110167|01638303497|01784664447|015776100019|015738029327|015738029362|01782418117|01783407052,Spam SMS,Abschaltung der Rufnummern zum 25.01.2021
20.01.2021,023158688970|023158688971|023158688972|023158688973|023158688974|023158688975|023158688976|023158688977|023158688978|023158688979|023158690870|023158690871|023158690872|023158690873|023158690874|023158690875|023158690876|023158690877|023158690878|023158690879,Fehlender Ortsnetzbezug|Vortäuschen von Ortsansässigkeit,Abschaltung der Rufnummern zum 25.01.2021|Portierungsverbot
18.01.2021,00381637210100|00381637210106|00381637210107|00381637210108|00381637210111|00381637210112|00381637210113|00381637210114|00381637210115|00381637210117|00381637210118|00381637210122|00381637210125|00381637210128|0038163721013|00381637210132|00381637210135|00381637210136|00381637210138|00381637210139|0038163721014|00381637210140|00381637210141|00381637210145|00381637210148|00381637210149|00381638342200|00381638381000|00381638381002|00381638381003|00381638381004|00381638381005|00381638381006,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 03.01.2021 bis 10.01.2021
18.01.2021,00381638381007|00381638381008|00381638381009|00381638381010|00381638381011|00381638381012|00381638381013|00381638381014|00381638381015|00381638381016|00381638381017|00381638381018|00381638381019|00381638381020|00381638381021|00381638381022|00381638381024|00381638381025|00381638381026|00381638381027|00381638381028|00381638381029|00381638381030|00381638381031|00381638381032|00381638381033|00381638381034|00381638381035|00381638381036|00381638612411,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 03.01.2021 bis 10.01.2021
14.01.2021,08000010172|08000007869,Internet PopUp,Abschaltung der Rufnummern zum 18.01.2021
13.01.2021,015171321529,Spam Fax,Abschaltung der Rufnummer zum 18.01.2021
13.01.2021,01621654217,Umgehungsmodell,Abschaltung der Rufnummer zum 16.01.2021
12.01.2021,020157181245,Spam Fax,Abschaltung der Rufnummer zum 15.01.2021
07.01.2021,015129687417,Spam Fax,Abschaltung der Rufnummer zum 11.01.2021
